Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
magazine,"A periodical publication containing articles and illustrations, typically covering a particular subject or area of interest",tạp chí,She read a fashion magazine.,"noun, verb",magazines,"periodical, journal",none,"read a magazine, fashion magazine"
magic,The power of apparently influencing events by using mysterious or supernatural forces,ảo thuật,He believes in magic.,"noun, adjective",magically,"sorcery, witchcraft","reality, rationality","believe in magic, magic trick"
mail,Letters and packages conveyed by the postal system,thư,She received mail from her friend.,"noun, verb",mails,"post, letters",none,"receive mail, send mail"
main,Chief in size or importance,chủ yếu,The main road is closed.,"adjective, noun",mains,"primary, chief","minor, secondary","main road, main idea"
mainly,For the most part; chiefly,chủ yếu,He is mainly interested in sports.,adverb,mainly,"chiefly, mostly","slightly, marginally","mainly due to, mainly because"
maintain,Cause or enable (a condition or situation) to continue,duy trì,They maintain their car well.,"verb, noun","maintains, maintaining, maintained","preserve, keep","neglect, abandon","maintain a car, maintain health"
major,"Important, serious, or significant",lớn lao,He played a major role in the project.,"adjective, noun",majors,"significant, important","minor, insignificant","major role, major problem"
majority,The greater number,số đông,The majority of people agree.,"noun, verb",majorities,"greater part, most","minority, few","majority of, majority vote"
make,Form (something) by putting parts together or combining substances; construct; create,làm,She likes to make cakes.,"verb, noun","makes, making, made","create, build","destroy, break","make a cake, make sure"
male,Relating to men or boys,nam giới,There is a male lion in the zoo.,"adjective, noun",males,"masculine, masculine gender","female, feminine","male and female, male student"
mall,A large enclosed shopping area from which traffic is excluded,trung tâm mua sắm,They went to the mall to shop.,"noun, verb",malls,"shopping center, plaza",none,"go to the mall, shopping mall"
man,An adult human male,người đàn ông,He is a strong man.,"noun, verb",men,"gentleman, guy","woman, lady","strong man, young man"
manage,"Be in charge of (a company, establishment, or undertaking); administer; run",quản lý,She manages the store.,"verb, noun","manages, managing, managed","administer, control","neglect, mismanage","manage a team, manage the store"
management,The process of dealing with or controlling things or people,sự quản lý,Effective management is crucial.,"noun, verb",managements,"administration, supervision",mismanagement,"effective management, management skills"
manager,A person responsible for controlling or administering an organization or group of staff,giám đốc,He is the manager of the team.,"noun, verb",managers,"director, supervisor","employee, worker","team manager, project manager"
manner,A way in which a thing is done or happens,thái độ,She spoke in a friendly manner.,"noun, verb",manners,"style, approach",none,"friendly manner, in a manner"
manufacture,Make (something) on a large scale using machinery,sản xuất,The company manufactures cars.,"verb, noun","manufactures, manufacturing, manufactured","produce, create","destroy, dismantle","manufacture cars, manufacture goods"
manufacturer,A person or company that makes goods for sale,nhà sản xuất,The manufacturer issued a recall.,"noun, verb",manufacturers,"producer, maker","consumer, customer","car manufacturer, leading manufacturer"
many,A large number of,nhiều,There are many options.,"adjective, pronoun",many,"numerous, multiple","few, little","many people, many options"
map,"A diagrammatic representation of an area of land or sea showing physical features, cities, roads, etc.",bản đồ,She looked at the map.,"noun, verb",maps,"chart, plan",none,"look at the map, road map"
March,"The third month of the year, in the northern hemisphere usually considered the first month of spring",Bước đều,March is a windy month.,"noun, proper noun",Marches,none,none,"March weather, March 1st"
mark,Make a visible impression or stain on,đánh dấu,He marked the spot on the map.,"noun, verb",marks,"spot, sign",none,"mark the spot, mark on"
market,"A regular gathering of people for the purchase and sale of provisions, livestock, and other commodities",chợ,She went to the market to buy vegetables.,"noun, verb",markets,"bazaar, marketplace",none,"farmers market, market value"
marketing,"The action or business of promoting and selling products or services, including market research and advertising",tiếp thị,He works in marketing.,"noun, verb",marketings,"advertising, promotion",none,"marketing strategy, marketing campaign"
marriage,The legally or formally recognized union of two people as partners in a personal relationship,kết hôn,Their marriage ceremony was beautiful.,"noun, verb",marriages,"union, wedding","divorce, separation","happy marriage, marriage ceremony"
married,Having a spouse,đã cưới,They are happily married.,"adjective, verb",marries,"wedded, united","single, unmarried","married couple, happily married"
marry,Join in marriage,kết hôn,They plan to marry next year.,"verb, noun","marries, marrying, married","wed, unite","divorce, separate","marry someone, marry in"
mass,A large body of matter with no definite shape,khối,The planet has a large mass.,"noun, verb",masses,"bulk, quantity",none,"large mass, mass of"
massive,Large and heavy or solid,to lớn,The building is massive.,"adjective, noun",massively,"huge, immense","tiny, small","massive building, massive impact"
master,Having or showing very great skill or proficiency,bậc thầy,She is a master at chess.,"noun, verb",masters,"expert, adept","novice, apprentice","master of, master at"
match,A person or thing that is equal to another in quality or strength,cuộc thi đấu,The curtains are a perfect match for the sofa.,"noun, verb",matches,"equal, peer","mismatch, opposition","perfect match, match for"
matching,"Corresponding in pattern, color, or design; complementary",khớp,They are wearing matching outfits.,"adjective, verb",matchings,"coordinating, complementary","clashing, contrasting","matching colors, matching outfits"
mate,Each of a pair of birds or other animals that breed together,bạn,Birds find a mate during the breeding season.,"noun, verb",mates,"partner, companion",none,"find a mate, perfect mate"
material,The matter from which a thing is or can be made,vật liệu,The dress is made of a soft material.,"noun, adjective",materials,"fabric, substance","immaterial, non-material","raw material, building material"
mathematics,"The abstract science of number, quantity, and space",toán học,He is good at mathematics.,"noun, verb",mathematical,"maths, arithmetic",none,"study mathematics, mathematics problem"
matter,The substance or substances of which any physical object consists or is composed,vấn đề,Dark matter makes up most of the universe.,"noun, verb",matters,"substance, material",none,"physical matter, no matter"
maximum,"As great, high, or intense as possible or permitted",tối đa,She reached the maximum score.,"noun, adjective",maximums,"greatest, highest","minimum, least","maximum capacity, maximum amount"
